US20100062532
US20100166769
US20120009215
US20140023680
US20140242102
US20150307851
US20220160863
US20230000971
CN111481663A
CN108290932A
CN102753200B
EP2465927B1
EP4061930A1
EP3515930A1
JP2015091247A
JP2015501141A
JP2015524266A
JP2000502889A
JP2012510283A
JP2020502080A
JP5349049B2
JP2002513575A
JP2009511073A6
JP2013179943A
JP4771959B2
JP2012519484A
JP2009518007A
JP2012531205A
JP5733976B2
JP4980895B2
JP2011505863A
JP2009534039A
WO2022051327A1
WO2018057950A1
WO2007104782A1
